,発表番号,発表タイトル,発表組織,発表組織カテゴリ,クラスタラベル(k=3),クラスタラベル(k=4),クラスタラベル(k=5),クラスタラベル(k=6),クラスタラベル(k=7)
0,1101,ITインフラ構築プロジェクトにおける効率化及び品質向上に向けた取り組みと有効性検証,日立製作所,企業,1,1,1,1,1
1,1102,基幹システムのクラウド移設におけるリスクマネジメント計画と実践,日本電気,企業,1,1,1,2,2
2,1103,デジタル社会の実現に向けたデータ利活用案件における要件調整プロセスの提案,富士通,企業,2,2,2,3,3
3,1104,他社構築システムにおけるレガシーマイグレーション対応事例,NECソリューションイノベータ,企業,2,2,2,3,4
4,1105,多国籍マルチベンダーのSaaSを活用するシステム開発のプロジェクト計画と管理,日本アイ・ビー・エム,企業,2,2,2,3,3
5,1106,大規模ミッションクリティカルシステムにおける商用維持管理作業の品質管理に関する考察,NTTデータビジネスシステムズ,企業,3,3,3,4,5
6,1107,大規模プロジェクトにおけるマトリクス組織型の現場マネジメントを経験して考えたこと,SOMPOシステムズ,企業,1,1,1,1,1
7,2108,大規模プロジェクトの上流工程マネジメント,日立製作所,企業,1,1,1,2,2
8,2109,自動化ツールを活用した大量データ移行案件におけるプロジェクトマネジメントの考慮点,日本電気,企業,2,2,2,3,3
9,2110,ニューノーマルな働き方における中途採用者のプロジェクト受け入れ時のコミュニケーションマネジメント,日本アイ・ビー・エムデジタルサービス,企業,3,3,3,4,5
10,2111,BPOサービス開発プロジェクトにおけるプロジェクトマネジメントの留意点,日本電気,企業,1,1,1,2,2
11,2112,パッケージ導入時の設定変更作業の取り組み,日本アイ・ビー・エム,企業,2,2,2,3,3
12,2113,複数の検知手段を組み合わせ実施するプロジェクトリスク点検活動,NECソリューションイノベータ,企業,2,2,2,3,4
13,2114,大規模開発案件輻輳プロジェクトにおけるCOCOMOモデル活用事例,日立製作所,企業,2,2,2,3,3
14,1201,予兆モデルを活用したプロジェクト失敗の予兆検知,日立製作所,企業,2,2,2,3,3
15,1202,利他的行動の導入による顧客志向行動の理論的考察,文教大学,大学,2,2,2,3,4
16,1203,スループットのモニタリングに基づいたサービスデスク改善活動,リクルート,企業,1,1,1,2,2
17,1204,コミュニケーションにおける対立と配慮の関係の調査,千葉工業大学,大学,2,2,2,3,4
18,1205,業務システムの障害を撲滅する「日別・変化点別リスクマネジメント手法」,日本アイ・ビー・エムデジタルサービス,企業,3,3,3,4,5
19,1206,コロナ禍及びDX時代における保守運用チームのコミュニケーションに関する一考察,NTTデータ関西,企業,2,2,2,3,4
20,1207,保守プロジェクトにおける品質向上施策の最適化について,日本アイ・ビー・エム,企業,1,1,1,1,1
21,2208,機能共鳴分析手法FRAMを用いたCCPM適用時の分析法の検討,長崎県立大学,大学,3,3,4,5,6
22,2209,統計数理モデルのメタモデル化の試み,SASInstituteJapan,企業,1,1,1,2,2
23,2210,PBL(探求学習)とプロジェクトマネジメントの関連性,キンドリルジャパンテクノロジーサービス,企業,2,2,2,3,4
24,2211,ユーザーとの共創を促進させる実践的教育,日本アイ・ビー・エム,企業,2,2,2,3,3
25,2212,プロジェクト・マネジメントスキル向上事例紹介,日本アイ・ビー・エムデジタルサービス,企業,1,1,1,1,1
26,2213,プロジェクトの重要成功要因である顧客ニーズを具現化する価値提供人材育成の取組,NTTデータ,企業,3,3,4,5,6
27,2214,プロジェクト・リスクの傾向と効果的なリスク・マネジメント,日本電気,企業,1,1,1,1,1
28,1301,PMの行動変容を目指した主体的かつ対話的なプロジェクトマネージメント教育の実践,NECソリューションイノベータ,企業,3,3,3,4,5
29,1302,気づきに着目したPM育成の一考察,NTTデータカスタマサービス,企業,1,1,1,1,1
30,1303,複数の小規模プロジェクトを担うプロジェクトマネージャーの育成,日本アイ・ビー・エムデジタルサービス,企業,1,1,1,2,2
31,1304,PM育成における『ダブルPM』の有用性に関する考察,日立システムズ,企業,1,1,1,2,2
32,1305,プロセスマイニング技術を活用した超短期間でのDX人材育成事例,NTTデータ,企業,3,3,3,4,5
33,1306,プロジェクトの成功確保に向けたメンバの離任防止策に関する研究,文教大学,大学,2,2,2,3,4
